ubigeo,ambito,nombre,provincia,departamento,razon,actas_pct,donor_ubigeo,donor_nombre,scope
920224,2,Catamarca,Argentina,América,0% actas contabilizadas,0.0,920226,La Rioja,provincia
920208,2,Salta,Argentina,América,0% actas contabilizadas,0.0,920207,Rosario De Santa Fe,provincia
921102,2,Loja,Ecuador,América,0% actas contabilizadas,0.0,921101,Guayaquil,provincia
922403,2,Santiago De Los Caballeros,República Dominicana,América,0% actas contabilizadas,0.0,922401,Santo Domingo,provincia
940922,2,Vigo,España,Europa,0% actas contabilizadas,0.0,940920,Valencia,provincia
941103,2,Estrasburgo,Francia,Europa,0% actas contabilizadas,0.0,941105,Lyon,provincia
941106,2,Marsella,Francia,Europa,0% actas contabilizadas,0.0,941105,Lyon,provincia
941301,2,Atenas,Grecia,Europa,0% actas contabilizadas,0.0,941204,Londres,departamento
944202,2,Andorra La Vella,Principado De Andorra,Europa,0% actas contabilizadas,0.0,943701,Skopie,departamento
942910,2,San Petersburgo,Rusia,Europa,0% actas contabilizadas,0.0,942901,Moscú,provincia
