ubigeo,ambito,nombre,provincia,departamento,razon,actas_pct,donor_ubigeo,donor_nombre,scope
920224,2,Catamarca,Argentina,América,0% actas contabilizadas,0.0,920226,La Rioja,provincia
920204,2,Corrientes,Argentina,América,0% actas contabilizadas,0.0,920203,Córdoba,provincia
911201,2,Acra,Ghana,África,0% actas contabilizadas,0.0,910603,Pretoria,departamento
920502,2,Belo Horizonte,Brasil,América,0% actas contabilizadas,0.0,920503,Brasilia,provincia
910502,2,Rabat,Marruecos,África,0% actas contabilizadas,0.0,910603,Pretoria,departamento
920532,2,Goiania,Brasil,América,0% actas contabilizadas,0.0,920536,Fortaleza,provincia
920511,2,Salvador,Brasil,América,0% actas contabilizadas,0.0,920510,Sao Paulo,provincia
920208,2,Salta,Argentina,América,0% actas contabilizadas,0.0,920207,Rosario De Santa Fe,provincia
921026,2,Copiapó,Chile,América,0% actas contabilizadas,0.0,921007,Valparaiso,provincia
920803,2,San José,Costa Rica,América,0% actas contabilizadas,0.0,920737,Cartagena,departamento
921102,2,Loja,Ecuador,América,0% actas contabilizadas,0.0,921101,Guayaquil,provincia
921324,2,San Diego,Estados Unidos De Ámerica,América,0% actas contabilizadas,0.0,921323,San Antonio,provincia
921901,2,Guadalajara,México,América,0% actas contabilizadas,0.0,921902,Ciudad De México,provincia
921903,2,Monterrey,México,América,0% actas contabilizadas,0.0,921902,Ciudad De México,provincia
922001,2,Managua,Nicaragua,América,0% actas contabilizadas,0.0,921902,Ciudad De México,departamento
922108,2,Veraguas,Panamá,América,0% actas contabilizadas,0.0,922103,Colon,provincia
922802,2,Caracas,Venezuela,América,0% actas contabilizadas,0.0,922701,Montevideo,departamento
930402,2,Nueva Delhi,India,Asia,0% actas contabilizadas,0.0,930226,Region Administrativa Especial Hong Kong,departamento
922303,2,San Juan,Puerto Rico,América,0% actas contabilizadas,0.0,922401,Santo Domingo,departamento
932401,2,Teheran,Irán,Asia,0% actas contabilizadas,0.0,932501,Singapur,departamento
922403,2,Santiago De Los Caballeros,República Dominicana,América,0% actas contabilizadas,0.0,922401,Santo Domingo,provincia
930603,2,Ramla,Israel,Asia,0% actas contabilizadas,0.0,930704,Okinawa,departamento
933801,2,Doha,Catar,Asia,0% actas contabilizadas,0.0,933201,Manila,departamento
933702,2,Abu Dabi,Emiratos Árabes Unidos,Asia,0% actas contabilizadas,0.0,933201,Manila,departamento
931904,2,Riad,Arabia Saudita,Asia,0% actas contabilizadas,0.0,932002,Hanói,departamento
930602,2,Tel Aviv,Israel,Asia,0% actas contabilizadas,0.0,930704,Okinawa,departamento
933701,2,Dubái,Emiratos Árabes Unidos,Asia,0% actas contabilizadas,0.0,933201,Manila,departamento
930703,2,Tokio,Japón,Asia,0% actas contabilizadas,0.0,930704,Okinawa,provincia
930801,2,Beirut,Líbano,Asia,0% actas contabilizadas,0.0,930736,Shiga,departamento
932801,2,Al - Kuwait,Kuwait,Asia,0% actas contabilizadas,0.0,933001,Kuala Lumpur,departamento
930720,2,Saitama,Japón,Asia,0% actas contabilizadas,0.0,930721,Gunma,provincia
930232,2,Guangzhou,República Popular China,Asia,0% actas contabilizadas,0.0,930226,Region Administrativa Especial Hong Kong,provincia
940402,2,Bruselas,Bélgica,Europa,0% actas contabilizadas,0.0,940401,Amberes,provincia
931302,2,Amman,Jordania,Asia,0% actas contabilizadas,0.0,931501,Estambul,departamento
930201,2,Beijing (Pekin),República Popular China,Asia,0% actas contabilizadas,0.0,930206,Shanghái,provincia
943601,2,Minsk,Bielorrusia,Europa,0% actas contabilizadas,0.0,942803,Ginebra,departamento
940801,2,Copenhague,Dinamarca,Europa,0% actas contabilizadas,0.0,940902,Barcelona,departamento
940206,2,Hamburgo,Alemania,Europa,0% actas contabilizadas,0.0,940205,Frankfurt,provincia
940905,2,Salamanca,España,Europa,0% actas contabilizadas,0.0,940903,Bilbao,provincia
940922,2,Vigo,España,Europa,0% actas contabilizadas,0.0,940920,Valencia,provincia
940917,2,Zaragoza,España,Europa,0% actas contabilizadas,0.0,940918,Sevilla,provincia
940915,2,Tenerife,España,Europa,0% actas contabilizadas,0.0,940918,Sevilla,provincia
941101,2,Burdeos,Francia,Europa,0% actas contabilizadas,0.0,941105,Lyon,provincia
941103,2,Estrasburgo,Francia,Europa,0% actas contabilizadas,0.0,941105,Lyon,provincia
941110,2,Toulouse,Francia,Europa,0% actas contabilizadas,0.0,941108,París,provincia
941106,2,Marsella,Francia,Europa,0% actas contabilizadas,0.0,941107,Niza,provincia
941301,2,Atenas,Grecia,Europa,0% actas contabilizadas,0.0,941204,Londres,departamento
940913,2,Mallorca,España,Europa,0% actas contabilizadas,0.0,940911,Málaga,provincia
941717,2,Marcas,Italia,Europa,0% actas contabilizadas,0.0,941711,Turín,provincia
941710,2,Trieste,Italia,Europa,0% actas contabilizadas,0.0,941711,Turín,provincia
942101,2,La Valetta,Malta,Europa,0% actas contabilizadas,0.0,942001,Luxemburgo,departamento
940909,2,Las Palmas,España,Europa,0% actas contabilizadas,0.0,940910,Madrid,provincia
941748,2,Perugia,Italia,Europa,0% actas contabilizadas,0.0,941755,Bolzano,provincia
943701,2,Skopie,Macedonia,Europa,0% actas contabilizadas,0.0,942803,Ginebra,departamento
942601,2,Bucarest,Rumanía,Europa,0% actas contabilizadas,0.0,942604,Timisoara,provincia
942901,2,Moscú,Rusia,Europa,0% actas contabilizadas,0.0,942803,Ginebra,departamento
942910,2,San Petersburgo,Rusia,Europa,0% actas contabilizadas,0.0,942803,Ginebra,departamento
950103,2,Camberra,Australia,Oceanía,0% actas contabilizadas,0.0,950201,Auckland,departamento
944202,2,Andorra La Vella,Principado De Andorra,Europa,0% actas contabilizadas,0.0,942803,Ginebra,departamento
950102,2,Brisbane,Australia,Oceanía,0% actas contabilizadas,0.0,950201,Auckland,departamento
950105,2,Sídney,Australia,Oceanía,0% actas contabilizadas,0.0,950201,Auckland,departamento
940601,2,Praga,República Checa,Europa,0% actas contabilizadas,0.0,940404,Lieja,departamento
941707,2,Nápoles,Italia,Europa,0% actas contabilizadas,0.0,941706,Milán,provincia
950104,2,Melbourne,Australia,Oceanía,0% actas contabilizadas,0.0,950201,Auckland,departamento
950106,2,Perth,Australia,Oceanía,0% actas contabilizadas,0.0,950201,Auckland,departamento
